BARE METAL

hpc43203 r35c2t6n1 220$ for FILE in */**; do mpirun -np 2 $FILE; done

# OSU MPI Allgather Latency Test v5.9
# Size       Avg Latency(us)
16384                   1.80
32768                   3.44
65536                   6.67
131072                 15.72
262144                 21.20
524288                 41.26
1048576                77.10
./
./
./
./
./
./
./
./
# OSU MPI_Accumulate latency Test v5.9
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       0.25
2                       0.25
4                       0.25
8                       0.26
16                      0.26
32                      0.27
64                      0.28
128                     0.32
256                     0.38
512                     0.51
1024                    0.73
2048                    1.20
4096                    2.17
8192                    4.06
16384                   7.96
32768                  15.55
65536                  30.84
131072                 61.56
262144                122.96
524288                246.34
1048576               492.38
2097152               985.16
4194304              1968.38
# OSU MPI_Compare_and_swap latency Test v5.9
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
8                       0.23
# OSU MPI_Fetch_and_op latency Test v5.9
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
8                       0.25
# OSU MPI_Get_accumulate latency Test v5.9
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock/unlock
# Size          Latency (us)
1                       1.66
2                       1.63
4                       1.65
8                       1.66
16                      1.64
32                      1.66
64                      1.67
128                     1.73
256                     1.81
512                     1.95
1024                    2.23
2048                    2.87
4096                    3.87
8192                    6.96
16384                  13.13
32768                  26.18
65536                  51.65
131072                104.70
262144                214.20
524288                429.78
1048576               858.59
2097152              1717.94
4194304              3435.91
# OSU MPI_Get Bandwidth Test v5.9
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size      Bandwidth (MB/s)
1                      17.28
2                      34.23
4                      69.96
8                     142.21
16                    277.75
32                    563.71
64                   1129.05
128                  2199.30
256                  4364.55
512                  7861.69
1024                13826.92
2048                22112.97
4096                26230.01
8192                24539.82
16384               33474.58
32768               28569.06
65536               32456.82
131072              18322.54
262144               8826.13
524288               8841.93
1048576              8776.33
2097152              8859.30
4194304              8862.88
# OSU MPI_Get latency Test v5.9
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       0.10
2                       0.10
4                       0.10
8                       0.10
16                      0.10
32                      0.10
64                      0.10
128                     0.10
256                     0.10
512                     0.10
1024                    0.11
2048                    0.12
4096                    0.13
8192                    0.18
16384                   0.34
32768                   0.76
65536                   1.42
131072                  2.82
262144                  6.28
524288                 13.50
1048576                27.07
2097152                54.01
4194304               115.92
# OSU MPI_Put Bi-directional Bandwidth Test v5.9
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_post/start/complete/wait
# Size      Bandwidth (MB/s)
1                      26.21
2                      57.19
4                     115.29
8                     224.43
16                    441.90
32                    981.36
64                   1801.95
128                  3791.94
256                  7641.81
512                 14039.42
1024                24521.99
2048                34657.39
4096                39136.89
8192                42684.85
16384               48062.01
32768               58569.40
65536               28769.06
131072              11839.12
262144              11754.56
524288              11798.11
1048576             11778.28
2097152             11848.49
4194304             11838.55
# OSU MPI_Put Bandwidth Test v5.9
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size      Bandwidth (MB/s)
1                      16.73
2                      35.27
4                      68.51
8                     139.33
16                    278.83
32                    559.58
64                   1014.38
128                  2202.50
256                  4230.20
512                  7872.87
1024                13469.31
2048                21050.50
4096                24981.58
8192                26977.96
16384               30392.58
32768               28590.33
65536               30824.70
131072              17733.87
262144               9507.90
524288               9563.50
1048576              9394.74
2097152              9609.76
4194304              9621.43
# OSU MPI_Put Latency Test v5.9
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       0.10
2                       0.11
4                       0.11
8                       0.11
16                      0.11
32                      0.11
64                      0.10
128                     0.10
256                     0.11
512                     0.11
1024                    0.11
2048                    0.12
4096                    0.14
8192                    0.17
16384                   0.37
32768                   0.75
65536                   1.43
131072                  2.75
262144                  6.18
524288                 13.46
1048576                27.25
2097152                54.20
4194304               110.31
# OSU MPI Bi-Directional Bandwidth Test v5.9
# Size      Bandwidth (MB/s)
1                      15.66
2                      32.21
4                      64.53
8                     129.36
16                    238.08
32                    500.74
64                   1001.80
128                  1336.18
256                  2679.64
512                  4810.23
1024                 7699.64
2048                 9676.30
4096                12661.92
8192                14603.20
16384               18584.00
32768               19801.17
65536               21356.73
131072              21765.02
262144              22256.39
524288              22377.70
1048576             22389.65
2097152             22209.33
4194304             21796.73
# OSU MPI Bandwidth Test v5.9
# Size      Bandwidth (MB/s)
1                      13.68
2                      28.18
4                      55.46
8                     113.83
16                    223.79
32                    452.08
64                    888.18
128                  1243.27
256                  2606.47
512                  4418.78
1024                 7550.00
2048                 9133.26
4096                11424.43
8192                13109.74
16384               16111.41
32768               18199.09
65536               19892.48
131072              20756.58
262144              21428.08
524288              21933.99
1048576             22076.60
2097152             22252.93
4194304             22107.28
# OSU MPI Latency Test v5.9
# Size          Latency (us)
0                       0.14
1                       0.14
2                       0.13
4                       0.14
8                       0.13
16                      0.14
32                      0.14
64                      0.14
128                     0.19
256                     0.20
512                     0.24
1024                    0.28
2048                    0.42
4096                    0.65
8192                    0.97
16384                   1.80
32768                   3.44
65536                   6.28
131072                 14.21
262144                 13.83
524288                 27.41
1048576                50.44
2097152                96.63
4194304               193.90
# Number of forked processes in sender: 2
# Number of forked processes in receiver: 2
# OSU MPI Multi-process Latency Test v5.9
# Size          Latency (us)
0                       0.13
1                       0.13
2                       0.13
4                       0.13
8                       0.13
16                      0.13
32                      0.13
64                      0.14
128                     0.19
256                     0.19
512                     0.20
1024                    0.25
2048                    0.40
4096                    0.55
8192                    0.94
16384                   1.76
32768                   3.24
65536                   6.29
131072                 13.86
262144                 13.70
524288                 27.22
1048576                50.59
2097152                96.77
4194304               192.98
# Number of Sender threads: 1 
# Number of Receiver threads: 2
# OSU MPI Multi-threaded Latency Test v5.9
# Size          Latency (us)
0                       0.77
1                       0.77
2                       0.75
4                       0.76
8                       0.77
16                      0.77
32                      0.79
64                      0.77
128                     0.86
256                     0.85
512                     0.95
1024                    0.87
2048                    1.22
4096                    1.34
8192                    1.63
16384                   2.42
32768                   4.11
65536                   7.39
131072                 15.35
262144                 14.45
524288                 27.73
1048576                50.62
2097152                98.05
4194304               196.42
# OSU MPI Multiple Bandwidth / Message Rate Test v5.9

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
1                      13.57       13566478.93
2                      26.53       13264441.14
4                      53.70       13425719.06
8                     107.04       13380527.57
16                    219.21       13700741.55
32                    428.88       13402411.60
64                    879.63       13744198.98
128                  1247.47        9745831.75
256                  2509.96        9804537.36
512                  4666.63        9114511.01
1024                 7167.60        6999607.37
2048                 9263.46        4523175.98
4096                11002.59        2686179.52
8192                12507.78        1526829.01
16384               16344.45         997586.00
32768               18717.43         571210.49
65536               19898.21         303622.60
131072              20605.13         157204.66
262144              21255.67          81083.96
524288              22054.02          42064.70
1048576             22150.19          21124.07
2097152             22194.97          10583.39
4194304             21889.31           5218.82
# OSU MPI Multi Latency Test v5.9
# Size          Latency (us)
0                       0.13
1                       0.13
2                       0.12
4                       0.13
8                       0.13
16                      0.13
32                      0.13
64                      0.13
128                     0.19
256                     0.19
512                     0.24
1024                    0.28
2048                    0.41
4096                    0.58
8192                    0.92
16384                   1.78
32768                   3.25
65536                   6.36
131072                 14.13
262144                 15.44
524288                 27.27
1048576                50.68
2097152                96.14
4194304               192.84
# OSU MPI Hello World Test v5.9
This is a test with 2 processes
# OSU MPI Init Test v5.9
nprocs: 2, min: 143 ms, max: 143 ms, avg: 143 ms
hpc43203 r35c2t6n1 221$
